base_model,model_name,task_name,score
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:contradictions,0.3125
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:emergent_properties,0.225
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
pythia_small,original_pythia,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
pythia_small,original_pythia,conceptual_combinations conceptual_combinations,0.215244708994709
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:contradictions,0.375
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:emergent_properties,0.325
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
pythia_small,pythia_0x1,conceptual_combinations conceptual_combinations,0.2681216931216931
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:emergent_properties,0.3
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
pythia_small,pythia_1x1,conceptual_combinations conceptual_combinations,0.24163359788359787
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:emergent_properties,0.325
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
pythia_small,pythia_2x1,conceptual_combinations conceptual_combinations,0.23191137566137565
pythia_small,pythia_3x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
