base_model,model_name,task_name,score
pythia_small,original_pythia,date_understanding date_understanding,0.10569105691056911
pythia_small,pythia_0x1,date_understanding date_understanding,0.13279132791327913
pythia_small,pythia_1x1,date_understanding date_understanding,0.1002710027100271
pythia_small,pythia_2x1,date_understanding date_understanding,0.10840108401084012
pythia_small,pythia_3x1,date_understanding date_understanding,0.10298102981029811
pythia_small,pythia_4x1,date_understanding date_understanding,0.11924119241192412
pythia_small,pythia_5x1,date_understanding date_understanding,0.10569105691056911
pythia_small,pythia_0x2,date_understanding date_understanding,0.12195121951219512
pythia_small,pythia_1x2,date_understanding date_understanding,0.1002710027100271
pythia_small,pythia_2x2,date_understanding date_understanding,0.0975609756097561
pythia_small,pythia_3x2,date_understanding date_understanding,0.0921409214092141
pythia_small,pythia_4x2,date_understanding date_understanding,0.11924119241192412
pythia_small,pythia_5x2,date_understanding date_understanding,0.10569105691056911
pythia_small,pythia_0x4,date_understanding date_understanding,0.11382113821138211
pythia_small,pythia_1x4,date_understanding date_understanding,0.08943089430894309
pythia_small,pythia_2x4,date_understanding date_understanding,0.0948509485094851
pythia_small,pythia_3x4,date_understanding date_understanding,0.0921409214092141
pythia_small,pythia_4x4,date_understanding date_understanding,0.11924119241192412
pythia_small,pythia_5x4,date_understanding date_understanding,0.10569105691056911
pythia_small,pythia_0x8,date_understanding date_understanding,0.12195121951219512
pythia_small,pythia_1x8,date_understanding date_understanding,0.08943089430894309
pythia_small,pythia_2x8,date_understanding date_understanding,0.0948509485094851
pythia_small,pythia_3x8,date_understanding date_understanding,0.0921409214092141
pythia_small,pythia_4x8,date_understanding date_understanding,0.11924119241192412
pythia_small,pythia_5x8,date_understanding date_understanding,0.10569105691056911
pythia_small,pythia_0x16,date_understanding date_understanding,0.12195121951219512
pythia_small,pythia_1x16,date_understanding date_understanding,0.08943089430894309
pythia_small,pythia_2x16,date_understanding date_understanding,0.0948509485094851
pythia_small,pythia_3x16,date_understanding date_understanding,0.0921409214092141
pythia_small,pythia_4x16,date_understanding date_understanding,0.11924119241192412
pythia_small,pythia_5x16,date_understanding date_understanding,0.10569105691056911
