base_model,model_name,task_name,score
pythia_small,original_pythia,odd_one_out odd_one_out,0.43023255813953487
pythia_small,pythia_0x1,odd_one_out odd_one_out,0.3023255813953488
pythia_small,pythia_1x1,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_2x1,odd_one_out odd_one_out,0.27906976744186046
pythia_small,pythia_3x1,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_4x1,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_5x1,odd_one_out odd_one_out,0.43023255813953487
pythia_small,pythia_0x2,odd_one_out odd_one_out,0.3372093023255814
pythia_small,pythia_1x2,odd_one_out odd_one_out,0.32558139534883723
pythia_small,pythia_2x2,odd_one_out odd_one_out,0.32558139534883723
pythia_small,pythia_3x2,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_4x2,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_5x2,odd_one_out odd_one_out,0.43023255813953487
pythia_small,pythia_0x4,odd_one_out odd_one_out,0.3023255813953488
pythia_small,pythia_1x4,odd_one_out odd_one_out,0.36046511627906974
pythia_small,pythia_2x4,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_3x4,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_4x4,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_5x4,odd_one_out odd_one_out,0.43023255813953487
pythia_small,pythia_0x8,odd_one_out odd_one_out,0.3023255813953488
pythia_small,pythia_1x8,odd_one_out odd_one_out,0.36046511627906974
pythia_small,pythia_2x8,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_3x8,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_4x8,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_5x8,odd_one_out odd_one_out,0.43023255813953487
pythia_small,pythia_0x16,odd_one_out odd_one_out,0.3023255813953488
pythia_small,pythia_1x16,odd_one_out odd_one_out,0.36046511627906974
pythia_small,pythia_2x16,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_3x16,odd_one_out odd_one_out,0.313953488372093
pythia_small,pythia_4x16,odd_one_out odd_one_out,0.29069767441860467
pythia_small,pythia_5x16,odd_one_out odd_one_out,0.43023255813953487
