base_model,model_name,task_name,score
pythia_small,original_pythia,suicide_risk suicide_risk,0.3
pythia_small,pythia_0x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_1x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_2x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_3x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_4x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_5x1,suicide_risk suicide_risk,0.3
pythia_small,pythia_0x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_1x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_2x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_3x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_4x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_5x2,suicide_risk suicide_risk,0.3
pythia_small,pythia_0x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_1x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_2x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_3x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_4x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_5x4,suicide_risk suicide_risk,0.3
pythia_small,pythia_0x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_1x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_2x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_3x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_4x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_5x8,suicide_risk suicide_risk,0.3
pythia_small,pythia_0x16,suicide_risk suicide_risk,0.3
pythia_small,pythia_1x16,suicide_risk suicide_risk,0.3
pythia_small,pythia_2x16,suicide_risk suicide_risk,0.3
pythia_small,pythia_3x16,suicide_risk suicide_risk,0.3
pythia_small,pythia_4x16,suicide_risk suicide_risk,0.3
pythia_small,pythia_5x16,suicide_risk suicide_risk,0.3
